id,alpha,gamma,softmax_lambda,train_win_rate,eval_win_rate,q_states,train_time_s,eval_wins,timestamp
baseline,0.1,0.95,1.0,86.76,94.8,9772,1005.5,474,2026-05-25T02:00:06
lam_0.5,0.1,0.95,0.5,82.91,96.0,9977,828.7,480,2026-05-25T02:14:35
lam_2.0,0.1,0.95,2.0,90.41,96.8,9459,713.2,484,2026-05-25T02:27:07
lam_5.0,0.1,0.95,5.0,92.87,96.2,8933,659.6,481,2026-05-25T02:38:45
alpha_0.05,0.05,0.95,1.0,87.46,96.0,9738,766.8,480,2026-05-25T02:52:09
alpha_0.20,0.2,0.95,1.0,86.13,93.2,9808,810.6,466,2026-05-25T03:06:23
alpha_0.30,0.3,0.95,1.0,84.03,93.0,9847,818.2,465,2026-05-25T03:20:45
gamma_0.80,0.1,0.8,1.0,86.57,94.8,9833,775.2,474,2026-05-25T03:34:15
gamma_0.90,0.1,0.9,1.0,86.39,96.4,9807,739.0,482,2026-05-25T03:47:14
gamma_0.99,0.1,0.99,1.0,86.11,96.8,9742,824.3,484,2026-05-25T04:01:41
